Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 22.08      6.68     6.68 645934982     0.00     0.00  b2Vec2::b2Vec2(float, float)
                0.00    0.00      52/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00      26/144091499     operator*(float, b2Vec2 const&) [4]
                0.00    0.00      26/40808439     b2Vec2::operator+=(b2Vec2 const&) [16]
                0.00    0.00      26/127788570     b2Cross(b2Vec2 const&, b2Vec2 const&) [11]
                0.00    0.00       6/645934982     b2Vec2::b2Vec2(float, float) [2]
                0.00    0.00       6/14397842     b2Vec2::Set(float, float) [38]
                0.00    0.00       6/87621152     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[173]    0.0    0.00    0.00                 b2MassData::b2MassData() [173]
                0.00    0.00     639/87621152     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[174]    0.0    0.00    0.00                 b2DistanceSquared(b2Vec2 const&, b2Vec2 const&) [174]
                0.00    0.00      44/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
-----------------------------------------------
                                                 <spontaneous>
[175]    0.0    0.00    0.00                 b2PolygonShape::SetAsBox(float, float) [175]
                0.00    0.00      80/14397842     b2Vec2::Set(float, float) [38]
                0.00    0.00      10/5873886     b2Vec2::SetZero() [59]
-----------------------------------------------
                0.00    0.00       7/7           cs296::dominos_t::dominos_t() [115]
[176]    0.0    0.00    0.00       7         b2RevoluteJointDef::b2RevoluteJointDef() [176]
                0.00    0.00      14/14397842     b2Vec2::Set(float, float) [38]
                0.00    0.00      14/87621152     b2Vec2::b2Vec2() [26]
                0.00    0.00       7/13          b2JointDef::b2JointDef() [210]
-----------------------------------------------
                0.00    0.00       6/6           cs296::dominos_t::dominos_t() [115]
[177]    0.0    0.00    0.00       6         b2WeldJointDef::b2WeldJointDef() [177]
                0.00    0.00      12/14397842     b2Vec2::Set(float, float) [38]
                0.00    0.00      12/87621152     b2Vec2::b2Vec2() [26]
                0.00    0.00       6/13          b2JointDef::b2JointDef() [210]
-----------------------------------------------
                                                 <spontaneous>
[178]    0.0    0.00    0.00                 b2RevoluteJoint::b2RevoluteJoint(b2RevoluteJointDef const*) [178]
                0.00    0.00      42/87621152     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[179]    0.0    0.00    0.00                 b2WeldJoint::b2WeldJoint(b2WeldJointDef const*) [179]
                0.00    0.00      36/87621152     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                                                 <spontaneous>
[180]    0.0    0.00    0.00                 b2EdgeShape::ComputeAABB(b2AABB*, b2Transform const&, int) const [180]
                0.00    0.00       1/70884126     operator+(b2Vec2 const&, b2Vec2 const&) [9]
                0.00    0.00       1/204292053     operator-(b2Vec2 const&, b2Vec2 const&) [3]
                0.00    0.00       1/645934982     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                0.00    0.00       2/4           cs296::dominos_t::dominos_t() [115]
                0.00    0.00       2/4           b2CircleShape::Clone(b2BlockAllocator*) const [183]
[181]    0.0    0.00    0.00       4         b2CircleShape::b2CircleShape() [181]
                0.00    0.00       4/5873886     b2Vec2::SetZero() [59]
                0.00    0.00       4/87621152     b2Vec2::b2Vec2() [26]
                0.00    0.00       4/665         b2Shape::b2Shape() [205]
-----------------------------------------------
                0.00    0.00       1/2           cs296::dominos_t::dominos_t() [115]
                0.00    0.00       1/2           b2EdgeShape::Clone(b2BlockAllocator*) const [184]
[182]    0.0    0.00    0.00       2         b2EdgeShape::b2EdgeShape() [182]
                0.00    0.00       8/87621152     b2Vec2::b2Vec2() [26]
                0.00    0.00       2/665         b2Shape::b2Shape() [205]
-----------------------------------------------
                                                 <spontaneous>
[183]    0.0    0.00    0.00                 b2CircleShape::Clone(b2BlockAllocator*) const [183]
                0.00    0.00       2/4           b2CircleShape::b2CircleShape() [181]
-----------------------------------------------
                                                 <spontaneous>
[184]    0.0    0.00    0.00                 b2EdgeShape::Clone(b2BlockAllocator*) const [184]
                0.00    0.00       1/2           b2EdgeShape::b2EdgeShape() [182]
-----------------------------------------------
                                   1             __static_initialization_and_destruction_0(int, int) [185]
                0.00    0.00       1/1           __libc_csu_init [186]
[185]    0.0    0.00    0.00       1+1       __static_initialization_and_destruction_0(int, int) [185]
                0.00    0.00       1/1           cs296::settings_t::settings_t() [187]
                0.00    0.00       1/87621152     b2Vec2::b2Vec2() [26]
                                   1             __static_initialization_and_destruction_0(int, int) [185]
-----------------------------------------------
                                                 <spontaneous>
[186]    0.0    0.00    0.00                 __libc_csu_init [186]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [185]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [214]
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [213]
-----------------------------------------------
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [185]
[187]    0.0    0.00    0.00       1         cs296::settings_t::settings_t() [187]
                0.00    0.00       1/645934982     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[188]    0.0    0.00    0.00                 __static_initialization_and_destruction_0(int, int) [188]
                0.00    0.00       1/645934982     b2Vec2::b2Vec2(float, float) [2]
-----------------------------------------------
                                                 <spontaneous>
[189]    0.0    0.00    0.00                 b2World::b2World(b2Vec2 const&) [189]
                0.00    0.00       1/87621152     b2Vec2::b2Vec2() [26]
-----------------------------------------------
                0.00    0.00 1331033/1331033     b2Island::Report(b2ContactVelocityConstraint const*) [55]
[196]    0.0    0.00    0.00 1331033         b2ContactListener::PostSolve(b2Contact*, b2ContactImpulse const*) [196]
-----------------------------------------------
                0.00    0.00   13000/655000      b2World::DrawJoint(b2Joint*) [160]
                0.00    0.00  642000/655000      b2World::DrawDebugData() [88]
[197]    0.0    0.00    0.00  655000         b2Color::b2Color(float, float, float) [197]
-----------------------------------------------
                0.00    0.00    1000/40000       b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&) [46]
                0.00    0.00   39000/40000       b2World::DrawJoint(b2Joint*) [160]
[198]    0.0    0.00    0.00   40000         debug_draw_t::DrawSegment(b2Vec2 const&, b2Vec2 const&, b2Color const&) [198]
-----------------------------------------------
                0.00    0.00    4675/4675        b2Contact::Update(b2ContactListener*) [36]
[199]    0.0    0.00    0.00    4675         b2ContactListener::BeginContact(b2Contact*) [199]
-----------------------------------------------
                0.00    0.00    2848/2848        b2Contact::Update(b2ContactListener*) [36]
[200]    0.0    0.00    0.00    2848         b2ContactListener::EndContact(b2Contact*) [200]
-----------------------------------------------
                0.00    0.00    1000/2000        cs296::base_sim_t::step(cs296::settings_t*) [155]
                0.00    0.00    1000/2000        main [113]
[201]    0.0    0.00    0.00    2000         b2World::GetProfile() const [201]
-----------------------------------------------
                0.00    0.00    1000/1000        cs296::base_sim_t::step(cs296::settings_t*) [155]
[202]    0.0    0.00    0.00    1000         b2World::SetSubStepping(bool) [202]
-----------------------------------------------
                0.00    0.00    1000/1000        cs296::base_sim_t::step(cs296::settings_t*) [155]
[203]    0.0    0.00    0.00    1000         b2World::SetWarmStarting(bool) [203]
-----------------------------------------------
                0.00    0.00    1000/1000        cs296::base_sim_t::step(cs296::settings_t*) [155]
[204]    0.0    0.00    0.00    1000         b2World::SetContinuousPhysics(bool) [204]
-----------------------------------------------
                0.00    0.00       2/665         b2EdgeShape::b2EdgeShape() [182]
                0.00    0.00       4/665         b2CircleShape::b2CircleShape() [181]
                0.00    0.00     659/665         b2PolygonShape::b2PolygonShape() [157]
[205]    0.0    0.00    0.00     665         b2Shape::b2Shape() [205]
-----------------------------------------------
                0.00    0.00      19/661         b2FixtureDef::b2FixtureDef() [207]
                0.00    0.00     642/661         b2Fixture::b2Fixture() [569]
[206]    0.0    0.00    0.00     661         b2Filter::b2Filter() [206]
-----------------------------------------------
                0.00    0.00       1/19          b2Body::CreateFixture(b2Shape const*, float) [493]
                0.00    0.00      18/19          cs296::dominos_t::dominos_t() [115]
[207]    0.0    0.00    0.00      19         b2FixtureDef::b2FixtureDef() [207]
                0.00    0.00      19/661         b2Filter::b2Filter() [206]
-----------------------------------------------
                0.00    0.00       1/19          b2EdgeShape::~b2EdgeShape() [215]
                0.00    0.00       2/19          b2CircleShape::~b2CircleShape() [211]
                0.00    0.00      16/19          b2PolygonShape::~b2PolygonShape() [209]
[208]    0.0    0.00    0.00      19         b2Shape::~b2Shape() [208]
-----------------------------------------------
                0.00    0.00      16/16          cs296::dominos_t::dominos_t() [115]
[209]    0.0    0.00    0.00      16         b2PolygonShape::~b2PolygonShape() [209]
                0.00    0.00      16/19          b2Shape::~b2Shape() [208]
-----------------------------------------------
                0.00    0.00       6/13          b2WeldJointDef::b2WeldJointDef() [177]
                0.00    0.00       7/13          b2RevoluteJointDef::b2RevoluteJointDef() [176]
[210]    0.0    0.00    0.00      13         b2JointDef::b2JointDef() [210]
-----------------------------------------------
                0.00    0.00       2/2           cs296::dominos_t::dominos_t() [115]
[211]    0.0    0.00    0.00       2         b2CircleShape::~b2CircleShape() [211]
                0.00    0.00       2/19          b2Shape::~b2Shape() [208]
-----------------------------------------------
                0.00    0.00       1/2           cs296::base_sim_t::base_sim_t() [164]
                0.00    0.00       1/2           __static_initialization_and_destruction_0(int, int) [227]
[212]    0.0    0.00    0.00       2         b2ContactListener::b2ContactListener() [212]
-----------------------------------------------
                                   1             __static_initialization_and_destruction_0(int, int) [213]
                0.00    0.00       1/1           __libc_csu_init [186]
[213]    0.0    0.00    0.00       1+1       __static_initialization_and_destruction_0(int, int) [213]
                0.00    0.00       1/1           cs296::sim_t::sim_t(char const*, cs296::base_sim_t* (*)()) [218]
                                   1             __static_initialization_and_destruction_0(int, int) [213]
-----------------------------------------------
                                   1             __static_initialization_and_destruction_0(int, int) [214]
                0.00    0.00       1/1           __libc_csu_init [186]
[214]    0.0    0.00    0.00       1+1       __static_initialization_and_destruction_0(int, int) [214]
                                   1             __static_initialization_and_destruction_0(int, int) [214]
-----------------------------------------------
                0.00    0.00       1/1           cs296::dominos_t::dominos_t() [115]
[215]    0.0    0.00    0.00       1         b2EdgeShape::~b2EdgeShape() [215]
                0.00    0.00       1/19          b2Shape::~b2Shape() [208]
-----------------------------------------------
                0.00    0.00       1/1           cs296::base_sim_t::base_sim_t() [164]
[216]    0.0    0.00    0.00       1         debug_draw_t::debug_draw_t() [216]
-----------------------------------------------
                0.00    0.00       1/1           main [113]
[217]    0.0    0.00    0.00       1         cs296::base_sim_t::get_world() [217]
-----------------------------------------------
                0.00    0.00       1/1           __static_initialization_and_destruction_0(int, int) [213]
[218]    0.0    0.00    0.00       1         cs296::sim_t::sim_t(char const*, cs296::base_sim_t* (*)()) [218]
-----------------------------------------------

 This table describes the call tree of the program, and was sorted by
 the total amount of time spent in each function and its children.

 Each entry in this table consists of several lines.  The line with the
 index number at the left hand margin lists the current function.
 The lines above it list the functions that called this function,
 and the lines below it list the functions this one called.
 This line lists:
     index	A unique number given to each element of the table.
		Index numbers are sorted numerically.
		The index number is printed next to every function name so
		it is easier to look up where the function is in the table.

     % time	This is the percentage of the `total' time that was spent
		in this function and its children.  Note that due to
		different viewpoints, functions excluded by options, etc,
		these numbers will NOT add up to 100%.

     self	This is the total amount of time spent in this function.

     children	This is the total amount of time propagated into this
		function by its children.

     called	This is the number of times the function was called.
		If the function called itself recursively, the number
		only includes non-recursive calls, and is followed by
		a `+' and the number of recursive calls.

     name	The name of the current function.  The index number is
		printed after it.  If the function is a member of a
		cycle, the cycle number is printed between the
		function's name and the index number.


 For the function's parents, the fields have the following meanings:

     self	This is the amount of time that was propagated directly
		from the function into this parent.

     children	This is the amount of time that was propagated from
		the function's children into this parent.

     called	This is the number of times this parent called the
		function `/' the total number of times the function
		was called.  Recursive calls to the function are not
		included in the number after the `/'.

     name	This is the name of the parent.  The parent's index
		number is printed after it.  If the parent is a
		member of a cycle, the cycle number is printed between
		the name and the index number.

 If the parents of the function cannot be determined, the word
 `<spontaneous>' is printed in the `name' field, and all the other
 fields are blank.

 For the function's children, the fields have the following meanings:

     self	This is the amount of time that was propagated directly
		from the child into the function.

     children	This is the amount of time that was propagated from the
		child's children to the function.

     called	This is the number of times the function called
		this child `/' the total number of times the child
		was called.  Recursive calls by the child are not
		listed in the number after the `/'.

     name	This is the name of the child.  The child's index
		number is printed after it.  If the child is a
		member of a cycle, the cycle number is printed
		between the name and the index number.

 If there are any cycles (circles) in the call graph, there is an
 entry for the cycle-as-a-whole.  This entry shows who called the
 cycle (as parents) and the members of the cycle (as children.)
 The `+' recursive calls entry shows the number of function calls that
 were internal to the cycle, and the calls entry for each member shows,
 for that member, how many times it was called from other members of
 the cycle.


Index by function name

  [63] b2Distance(b2DistanceOutput*, b2SimplexCache*, b2DistanceInput const*) [112] b2ReferenceFace::b2ReferenceFace() [204] b2World::SetContinuousPhysics(bool)
  [34] b2TestOverlap(b2AABB const&, b2AABB const&) [84] b2RevoluteJoint::SolvePositionConstraints(b2SolverData const&) [32] b2World::Solve(b2TimeStep const&)
 [118] b2PairLessThan(b2Pair const&, b2Pair const&) [79] b2RevoluteJoint::SolveVelocityConstraints(b2SolverData const&) [23] b2World::SolveTOI(b2TimeStep const&)
  [25] b2CollidePolygons(b2Manifold*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [86] b2SimplexVertex::b2SimplexVertex() [46] b2World::DrawShape(b2Fixture*, b2Transform const&, b2Color const&)
  [41] b2ClipSegmentToLine(b2ClipVertex*, b2ClipVertex const*, b2Vec2 const&, float, int) [17] b2WorldManifold::Initialize(b2Manifold const*, b2Transform const&, float, b2Transform const&, float) [206] b2Filter::b2Filter()
  [91] b2CollideEdgeAndPolygon(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [65] b2WorldManifold::b2WorldManifold() [31] b2Island::Solve(b2Profile*, b2TimeStep const&, b2Vec2 const&, bool)
 [185] __static_initialization_and_destruction_0(int, int) [40] b2ContactManager::Collide() [55] b2Island::Report(b2ContactVelocityConstraint const*)
 [213] __static_initialization_and_destruction_0(int, int) [57] b2PolygonContact::Evaluate(b2Manifold*, b2Transform const&, b2Transform const&) [89] b2Island::SolveTOI(b2TimeStep const&, int, int)
 [214] __static_initialization_and_destruction_0(int, int) [120] b2PolygonContact::b2PolygonContact(b2Fixture*, b2Fixture*) [116] b2BodyDef::b2BodyDef()
  [14] b2Dot(b2Vec2 const&, b2Vec2 const&) [93] b2StackAllocator::Free(void*) [58] b2Contact::GetFixtureA()
  [27] float b2Max<float>(float, float) [200] b2ContactListener::EndContact(b2Contact*) [72] b2Contact::GetFixtureB()
  [35] b2Max(b2Vec2 const&, b2Vec2 const&) [199] b2ContactListener::BeginContact(b2Contact*) [73] b2Contact::GetManifold()
  [24] float b2Min<float>(float, float) [90] b2ContactListener::PreSolve(b2Contact*, b2Manifold const*) [36] b2Contact::Update(b2ContactListener*)
  [33] b2Min(b2Vec2 const&, b2Vec2 const&) [196] b2ContactListener::PostSolve(b2Contact*, b2ContactImpulse const*) [82] b2Contact::GetNext()
  [10] b2Mul(b2Transform const&, b2Vec2 const&) [212] b2ContactListener::b2ContactListener() [56] b2Fixture::Synchronize(b2BroadPhase*, b2Transform const&, b2Transform const&)
  [12] b2Mul(b2Rot const&, b2Vec2 const&) [176] b2RevoluteJointDef::b2RevoluteJointDef() [48] b2Fixture::GetBody()
  [22] b2Mul(b2Mat22 const&, b2Vec2 const&) [20] b2PositionSolverManifold::Initialize(b2ContactPositionConstraint*, b2Transform const&, b2Transform const&, int) [62] b2Fixture::GetShape()
  [51] b2MulT(b2Transform const&, b2Vec2 const&) [43] b2PositionSolverManifold::b2PositionSolverManifold() [74] b2TreeNode::IsLeaf() const
  [45] b2MulT(b2Transform const&, b2Transform const&) [47] b2Rot::Set(float) [97] b2BroadPhase::TestOverlap(int, int) const
  [39] b2MulT(b2Rot const&, b2Vec2 const&) [81] b2Rot::b2Rot(float) [75] b2DynamicTree::GetFatAABB(int) const
  [54] b2MulT(b2Rot const&, b2Rot const&) [70] b2Rot::b2Rot() [98] void b2DynamicTree::Query<b2BroadPhase>(b2BroadPhase*, b2AABB const&) const
  [15] float b2Clamp<float>(float, float, float) [155] cs296::base_sim_t::step(cs296::settings_t*) [42] b2PolygonShape::ComputeAABB(b2AABB*, b2Transform const&, int) const
  [11] b2Cross(b2Vec2 const&, b2Vec2 const&) [217] cs296::base_sim_t::get_world() [99] b2PolygonShape::Validate() const
  [30] b2Cross(b2Vec2 const&, float) [164] cs296::base_sim_t::base_sim_t() [100] b2DistanceProxy::GetSupport(b2Vec2 const&) const
   [8] b2Cross(float, b2Vec2 const&) [187] cs296::settings_t::settings_t() [101] b2DistanceProxy::GetVertex(int) const
  [37] b2FindIncidentEdge(b2ClipVertex*, b2PolygonShape const*, b2Transform const&, int, b2PolygonShape const*, b2Transform const&) (b2CollidePolygon.cpp) [165] cs296::contact_point_t::contact_point_t() [87] b2SeparationFunction::FindMinSeparation(int*, int*, float) const
   [6] b2FindMaxSeparation(int*, b2PolygonShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) (b2CollidePolygon.cpp) [218] cs296::sim_t::sim_t(char const*, cs296::base_sim_t* (*)()) [121] b2AABB::RayCast(b2RayCastOutput*, b2RayCastInput const&) const
 [210] b2JointDef::b2JointDef() [114] cs296::dominos_t::create() [117] b2Body::GetTransform() const
 [182] b2EdgeShape::b2EdgeShape() [115] cs296::dominos_t::dominos_t() [76] b2Body::GetType() const
 [215] b2EdgeShape::~b2EdgeShape() [94] b2AABB::Combine(b2AABB const&, b2AABB const&) [49] b2Body::IsAwake() const
  [21] b2Transform::b2Transform() [109] b2AABB::b2AABB()  [77] b2Body::IsBullet() const
  [85] b2WeldJoint::SolvePositionConstraints(b2SolverData const&) [95] b2Body::GetFixtureList() [64] b2Vec2::Length() const
  [50] b2ClipVertex::b2ClipVertex() [169] b2Body::SetAwake(bool) [122] b2Vec2::IsValid() const
  [66] b2EPCollider::Collide(b2Manifold*, b2EdgeShape const*, b2Transform const&, b2PolygonShape const*, b2Transform const&) [38] b2Vec2::Set(float, float) [29] b2Vec2::operator-() const
 [207] b2FixtureDef::b2FixtureDef() [59] b2Vec2::SetZero() [61] b2Mat22::GetInverse() const
 [119] b2MotorJoint::~b2MotorJoint() [68] b2Vec2::Normalize() [201] b2World::GetProfile() const
 [198] debug_draw_t::DrawSegment(b2Vec2 const&, b2Vec2 const&, b2Color const&) [2] b2Vec2::b2Vec2(float, float) [123] b2World::IsLocked() const
 [130] debug_draw_t::DrawSolidCircle(b2Vec2 const&, float, b2Vec2 const&, b2Color const&) [26] b2Vec2::b2Vec2() [124] b2Contact::IsTouching() const
  [67] debug_draw_t::DrawSolidPolygon(b2Vec2 const*, int, b2Color const&) [19] b2Vec2::operator-=(b2Vec2 const&) [125] b2Contact::GetChildIndexA() const
 [216] debug_draw_t::debug_draw_t() [44] b2Vec2::operator*=(float) [126] b2Contact::GetChildIndexB() const
 [181] b2CircleShape::b2CircleShape() [16] b2Vec2::operator+=(b2Vec2 const&) [102] b2Contact::GetWorldManifold(b2WorldManifold*) const
 [211] b2CircleShape::~b2CircleShape() [197] b2Color::b2Color(float, float, float) [69] b2Contact::IsEnabled() const
 [157] b2PolygonShape::b2PolygonShape() [96] b2Joint::GetBodyA() [52] b2Fixture::IsSensor() const
 [209] b2PolygonShape::~b2PolygonShape() [60] b2Mat22::SetZero() [80] b2Simplex::GetWitnessPoints(b2Vec2*, b2Vec2*) const
 [177] b2WeldJointDef::b2WeldJointDef() [78] b2Mat22::b2Mat22() [103] b2Pair* std::__unguarded_partition<b2Pair*, b2Pair, bool (*)(b2Pair const&, b2Pair const&)>(b2Pair*, b2Pair*, b2Pair const&, bool (*)(b2Pair const&, b2Pair const&))
  [53] b2ContactSolver::StoreImpulses() [205] b2Shape::b2Shape() [127] std::__lg(int)
   [5] b2ContactSolver::SolvePositionConstraints() [208] b2Shape::~b2Shape() [3] operator-(b2Vec2 const&, b2Vec2 const&)
   [1] b2ContactSolver::SolveVelocityConstraints() [110] b2Sweep::b2Sweep() [4] operator*(float, b2Vec2 const&)
  [13] b2ContactSolver::InitializeVelocityConstraints() [83] b2World::ClearForces() [9] operator+(b2Vec2 const&, b2Vec2 const&)
  [18] b2ContactSolver::WarmStart() [88] b2World::DrawDebugData() [7] __x86.get_pc_thunk.bx
  [28] b2ContactSolver::b2ContactSolver(b2ContactSolverDef*) [202] b2World::SetSubStepping(bool)
  [92] b2GrowableStack<int, 256>::Pop() [203] b2World::SetWarmStarting(bool)
